,CODE
0,201000
1,201001
2,201002
3,201003
4,201004
5,201005
6,201008
7,201009
8,201010
9,202001
10,202003
11,202007
12,203007
13,203008
14,203009
15,203016
16,203017
17,203018
18,203019
19,203020
20,203021
21,203031
22,203032
23,203033
24,203040
25,203041
26,203042
27,203043
28,203044
29,203045
30,203049
31,203050
32,203051
33,203052
34,203053
35,203054
36,204001
37,204002
38,204003
39,204004
40,204007
41,204014
42,204028
43,204091
44,204182
45,500001
46,500002
47,500003
48,500005
49,500006
50,500007
51,500008
52,500009
53,500010
54,500011
55,500013
56,500015
57,500016
58,500017
59,500018
60,500019
61,500021
62,500025
63,500028
64,500029
65,500035
66,500038
67,500039
68,500056
69,500058
70,501000
71,501001
72,501002
73,501003
74,501005
75,501007
76,501008
77,501009
78,501010
79,501011
80,501012
81,501015
82,501016
83,501017
84,501018
85,501019
86,501020
87,501021
88,501022
89,501023
90,501025
91,501026
92,501027
93,501028
94,501029
95,501030
96,501031
97,501032
98,501035
99,501036
100,501037
101,501038
102,501039
103,501040
104,501043
105,501045
106,501046
107,501047
108,501048
109,501049
110,501050
111,501051
112,501057
113,501058
114,501059
115,501106
116,501300
117,501301
118,501302
119,501303
120,501305
121,501306
122,501307
123,502000
124,502001
125,502002
126,502003
127,502004
128,502005
129,502006
130,502007
131,502008
132,502010
133,502011
134,502012
135,502013
136,502014
137,502015
138,502016
139,502017
140,502018
141,502020
142,502021
143,502022
144,502023
145,502024
146,502025
147,502026
148,502027
149,502028
150,502031
151,502032
152,502036
153,502037
154,502038
155,502040
156,502041
157,502042
158,502048
159,502049
160,502050
161,502053
162,502054
163,502055
164,502056
165,502057
166,502058
167,505888
168,510010
169,510020
170,510030
171,510050
172,510060
173,510070
174,510090
175,510110
176,510120
177,510130
178,510150
179,510160
180,510170
181,510180
182,510190
183,510210
184,510220
185,510230
186,510260
187,510270
188,510280
189,510290
190,510300
191,510310
192,510330
193,510360
194,510380
195,510390
196,510410
197,510420
198,510430
199,510440
200,510450
201,510500
202,510510
203,510520
204,510560
205,510580
206,510590
207,510610
208,510620
209,510630
210,510650
211,510660
212,510680
213,510700
214,510710
215,510800
216,510810
217,510880
218,510900
219,511010
220,511210
221,511220
222,511230
223,511260
224,511280
225,511290
226,511310
227,511600
228,511620
229,511650
230,511660
231,511670
232,511680
233,511690
234,511700
235,511760
236,511770
237,511800
238,511810
239,511820
240,511830
241,511850
242,511860
243,511880
244,511890
245,511900
246,511910
247,511920
248,511930
249,511950
250,511960
251,511970
252,511980
253,511990
254,512000
255,512010
256,512070
257,512090
258,512100
259,512110
260,512120
261,512160
262,512180
263,512200
264,512210
265,512220
266,512230
267,512280
268,512300
269,512310
270,512330
271,512340
272,512360
273,512390
274,512400
275,512500
276,512510
277,512520
278,512550
279,512560
280,512570
281,512580
282,512600
283,512610
284,512640
285,512660
286,512680
287,512700
288,512770
289,512780
290,512800
291,512810
292,512880
293,512900
294,512980
295,512990
296,513030
297,513050
298,513100
299,513500
300,513600
301,513660
302,513900
303,518800
304,518880
305,580012
306,580013
307,580014
308,580016
309,580017
310,580019
311,580020
312,580021
313,580022
314,580023
315,580024
316,580025
317,580026
318,580027
319,600000
320,600001
321,600002
322,600003
323,600004
324,600005
325,600006
326,600007
327,600008
328,600009
329,600010
330,600011
331,600012
332,600015
333,600016
334,600017
335,600018
336,600019
337,600020
338,600021
339,600022
340,600023
341,600025
342,600026
343,600027
344,600028
345,600029
346,600030
347,600031
348,600033
349,600035
350,600036
351,600037
352,600038
353,600039
354,600048
355,600050
356,600051
357,600052
358,600053
359,600054
360,600055
361,600056
362,600057
363,600058
364,600059
365,600060
366,600061
367,600062
368,600063
369,600064
370,600065
371,600066
372,600067
373,600068
374,600069
375,600070
376,600071
377,600072
378,600073
379,600074
380,600075
381,600076
382,600077
383,600078
384,600079
385,600080
386,600081
387,600082
388,600083
389,600084
390,600085
391,600086
392,600087
393,600088
394,600089
395,600090
396,600091
397,600092
398,600093
399,600094
400,600095
401,600096
402,600097
403,600098
404,600099
405,600100
406,600101
407,600102
408,600103
409,600104
410,600105
411,600106
412,600107
413,600108
414,600109
415,600110
416,600111
417,600112
418,600113
419,600114
420,600115
421,600116
422,600117
423,600118
424,600119
425,600120
426,600121
427,600122
428,600123
429,600125
430,600126
431,600127
432,600128
433,600129
434,600130
435,600131
436,600132
437,600133
438,600135
439,600136
440,600137
441,600138
442,600139
443,600141
444,600143
445,600145
446,600146
447,600148
448,600149
449,600150
450,600151
451,600152
452,600153
453,600155
454,600156
455,600157
456,600158
457,600159
458,600160
459,600161
460,600162
461,600163
462,600165
463,600166
464,600167
465,600168
466,600169
467,600170
468,600171
469,600172
470,600173
471,600175
472,600176
473,600177
474,600178
475,600179
476,600180
477,600181
478,600182
479,600183
480,600184
481,600185
482,600186
483,600187
484,600188
485,600189
486,600190
487,600191
488,600192
489,600193
490,600195
491,600196
492,600197
493,600198
494,600199
495,600200
496,600201
497,600202
498,600203
499,600205
500,600206
501,600207
502,600208
503,600209
504,600210
505,600211
506,600212
507,600213
508,600215
509,600216
510,600217
511,600218
512,600219
513,600220
514,600221
515,600222
516,600223
517,600225
518,600226
519,600227
520,600228
521,600229
522,600230
523,600231
524,600232
525,600233
526,600234
527,600235
528,600236
529,600237
530,600238
531,600239
532,600240
533,600241
534,600242
535,600243
536,600246
537,600247
538,600248
539,600249
540,600250
541,600251
542,600252
543,600253
544,600255
545,600256
546,600257
547,600258
548,600259
549,600260
550,600261
551,600262
552,600263
553,600265
554,600266
555,600267
556,600268
557,600269
558,600270
559,600271
560,600272
561,600273
562,600275
563,600276
564,600277
565,600278
566,600279
567,600280
568,600281
569,600282
570,600283
571,600284
572,600285
573,600286
574,600287
575,600288
576,600289
577,600290
578,600291
579,600292
580,600293
581,600295
582,600296
583,600297
584,600298
585,600299
586,600300
587,600301
588,600302
589,600303
590,600305
591,600306
592,600307
593,600308
594,600309
595,600310
596,600311
597,600312
598,600313
599,600315
600,600316
601,600317
602,600318
603,600319
604,600320
605,600321
606,600322
607,600323
608,600325
609,600326
610,600327
611,600328
612,600329
613,600330
614,600331
615,600332
616,600333
617,600335
618,600336
619,600337
620,600338
621,600339
622,600340
623,600343
624,600345
625,600346
626,600348
627,600349
628,600350
629,600351
630,600352
631,600353
632,600354
633,600355
634,600356
635,600357
636,600358
637,600359
638,600360
639,600361
640,600362
641,600363
642,600365
643,600366
644,600367
645,600368
646,600369
647,600370
648,600371
649,600372
650,600373
651,600375
652,600376
653,600377
654,600378
655,600379
656,600380
657,600381
658,600382
659,600383
660,600385
661,600386
662,600387
663,600388
664,600389
665,600390
666,600391
667,600392
668,600393
669,600395
670,600396
671,600397
672,600398
673,600399
674,600400
675,600401
676,600403
677,600405
678,600406
679,600408
680,600409
681,600410
682,600415
683,600416
684,600418
685,600419
686,600420
687,600421
688,600422
689,600423
690,600425
691,600426
692,600428
693,600429
694,600432
695,600433
696,600435
697,600436
698,600438
699,600439
700,600444
701,600446
702,600448
703,600449
704,600452
705,600455
706,600456
707,600458
708,600459
709,600460
710,600461
711,600462
712,600463
713,600466
714,600467
715,600468
716,600469
717,600470
718,600472
719,600475
720,600476
721,600477
722,600478
723,600479
724,600480
725,600481
726,600482
727,600483
728,600485
729,600486
730,600487
731,600488
732,600489
733,600490
734,600491
735,600493
736,600495
737,600496
738,600497
739,600498
740,600499
741,600500
742,600501
743,600502
744,600503
745,600505
746,600506
747,600507
748,600508
749,600509
750,600510
751,600511
752,600512
753,600513
754,600515
755,600516
756,600517
757,600518
758,600519
759,600520
760,600521
761,600522
762,600523
763,600525
764,600526
765,600527
766,600528
767,600529
768,600530
769,600531
770,600532
771,600533
772,600535
773,600536
774,600537
775,600538
776,600539
777,600540
778,600543
779,600545
780,600546
781,600547
782,600548
783,600549
784,600550
785,600551
786,600552
787,600553
788,600555
789,600556
790,600557
791,600558
792,600559
793,600560
794,600561
795,600562
796,600563
797,600565
798,600566
799,600567
800,600568
801,600569
802,600570
803,600571
804,600572
805,600573
806,600575
807,600576
808,600577
809,600578
810,600579
811,600580
812,600581
813,600582
814,600583
815,600584
816,600585
817,600586
818,600587
819,600588
820,600589
821,600590
822,600591
823,600592
824,600593
825,600594
826,600595
827,600596
828,600597
829,600598
830,600599
831,600600
832,600601
833,600602
834,600603
835,600604
836,600605
837,600606
838,600607
839,600608
840,600609
841,600610
842,600611
843,600612
844,600613
845,600614
846,600615
847,600616
848,600617
849,600618
850,600619
851,600620
852,600621
853,600622
854,600623
